osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
259232,Dance Teacher (Private Tuition),249212,,Dance Teacher (Private Tuition)
259233,Speech and Drama Teacher (Private Tuition),249213,,Drama Teacher (Private Tuition)
259299,Arts and Personal Enrichment Teachers (Private Tuition) nec,249299,p,Private Tutors and Teachers nec
259331,Education Adviser,232413,p,Multimedia Designer
259331,Education Adviser,249111,,Education Adviser
259332,Education Reviewer,249112,,Education Reviewer
259431,Music Teacher (Private Tuition),249214,,Music Teacher (Private Tuition)
259531,Teacher of English to Speakers of Other Languages,249311,,Teacher of English to Speakers of Other Languages
259931,Adult Literacy / Numeracy Teacher,242211,p,Vocational Education Teacher / Polytechnic Teacher
259932,Careers Adviser,272111,,Careers Counsellor
259933,Student Services Adviser,272199,p,Counsellors nec
259999,Education Professionals nec,241511,p,Special Needs Teacher
259999,Education Professionals nec,241599,,Special Education Teachers nec
259999,Education Professionals nec,249299,p,Private Tutors and Teachers nec
261131,Counsellor (General),272199,p,Counsellors nec
261132,Alcohol and Other Drugs Counsellor,272112,,Drug and Alcohol Counsellor
261133,Family and Relationship Counsellor,272113,,Family and Marriage Counsellor
261134,Psychotherapist,272314,p,Psychotherapist
261135,Rehabilitation Counsellor,272114,p,Rehabilitation Counsellor
261136,School Counsellor,272115,,Student Counsellor
261231,Psychologist,272311,,Clinical Psychologist
261231,Psychologist,272312,,Educational Psychologist
261231,Psychologist,272313,,Organisational Psychologist
261231,Psychologist,272399,,Psychologists nec
261331,Social Worker,272511,,Social Worker
261931,Arts Therapist,252299,p,Complementary Health Therapists nec
261931,Arts Therapist,272314,p,Psychotherapist
261932,Behaviour Support Practitioner,272314,p,Psychotherapist
261933,Music Therapist,252299,p,Complementary Health Therapists nec
261999,"Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals nec",251999,p,Health Diagnostic and Promotion Professionals nec
261999,"Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals nec",252299,p,Complementary Health Therapists nec
261999,"Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals nec",272199,p,Counsellors nec
262131,Chiropractor,252111,,Chiropractor
262231,Exercise Physiologist,234915,p,Exercise Physiologist
262232,Exercise and Sports Scientist,234915,p,Exercise Physiologist
262331,Occupational Therapist,252411,,Occupational Therapist
262431,Physiotherapist,252511,,Physiotherapist
262531,Podiatrist,252611,,Podiatrist
262631,Speech Pathologist,252712,,Speech Pathologist / Speech Language Therapist
262931,Orthotist / Prosthetist,251912,,Orthotist or Prosthetist
262932,Osteopath,252112,,Osteopath
262999,Allied Health Physical and Sensory Therapy Professionals nec,251999,p,Health Diagnostic and Promotion Professionals nec
263131,Nuclear Medicine Technologist,251213,,Nuclear Medicine Technologist
